Items,V16,V12,V16-V12,T,p_2
id_old,180.52898550724638,172.7117117117117,7.817273795534675,0.7262140916048956,0.4681820533400515
id,177.7463768115942,170.1036036036036,7.642773207990587,0.724185461064572,0.46942486069866696
first,0.5,0.481981981981982,0.018018018018018,0.33163932067367535,0.7403556826373474
educ,16.0,12.0,4.0,inf,0.0
educt,15.673913043478262,12.43018018018018,3.2437328632980815,24.096967344205755,6.223056116343515e-77
hrwage,17.945478991942025,11.290892720648642,6.6545862712933825,5.44526703372536,9.62796851680627e-08
lwage,2.636935532115942,2.2684680798018024,0.36846745231413935,5.804472452021209,1.4236164323610908e-08
age,35.38623766963769,41.35112417081081,-5.964886501173126,-4.908381654665878,1.3977157992475488e-06
white,0.8768115942028986,0.9234234234234234,-0.04661182922052487,-1.4706637124609436,0.14226044400845086
female,0.5869565217391305,0.6261261261261262,-0.03916960438699568,-0.7397125886472189,0.4599591846404282
selfemp,0.13043478260869565,0.11636636640990991,0.014068416198785738,0.40640824772916456,0.6846854938029494
uncov,0.17753623188405798,0.30180180180180183,-0.12426556991774385,-2.6662133821902003,0.008018988073521935
married,0.4746376811594203,0.8153153153153153,-0.340677634155895,-7.232882202323152,2.8918218260311755e-12
tenure,6.439783782188407,9.827474181359094,-3.387690399170687,-3.5770840351035504,0.0003954960816776387
nsibs,2.9829545454545454,4.037974683544304,-1.0550201380897586,-3.5968700082566207,0.00038980231219378414
daded,13.05109489051095,10.65031152575701,2.4007833647539396,8.026484266293851,1.546440588708227e-14
momed,12.840579710144928,11.30594679113615,1.5346329190087769,6.001409145642895,4.9006420828823116e-09
educt_t,15.962560391086958,12.06981981981982,3.8927405712671383,62.592708160408506,6.849613632422858e-195
educ_t,15.73671497811594,12.593843846666665,3.142871131449274,22.6794143373949,3.1584166395014953e-71
lwage_t,2.6209506193623184,2.3288275231531532,0.2921230962091652,4.699772591525589,3.720911357672516e-06
age2,1367.4710921101446,1840.9206514369375,-473.44955932679295,-4.614057167867769,5.5085229986435626e-06
twoplus,0.18115942028985507,0.22522522522522523,-0.044065804935370156,-0.9995657702720113,0.31819582569982524
aeduct,15.705314014275364,12.512012013423423,3.1933020008519417,24.08896109701319,6.699081501821602e-77
dlwage,0.01598491271014493,-0.060359443355855864,0.07634435606600079,1.2602200299642285,0.20841081589701949
deduc,0.2632850218478261,-0.5938438467117118,0.8571288685595378,6.185166345428688,1.6944233905203887e-09
deduct,0.2886473476014493,-0.36036036036036034,0.6490077079618096,4.271684832119063,2.4892389232884206e-05
dceduc,0.32608695652173914,-0.43018018018018017,0.7562671367019194,5.618139737320426,3.883276532428543e-08
dceduct,0.2258454129347826,-0.5240240268918919,0.7498694398266745,5.012789559481181,8.453268155723901e-07
cseduc,15.83695652173913,12.21509009009009,3.6218664316490408,53.81207439455613,1.1978589545511297e-173
cseduct,15.84963768115942,12.331831837567568,3.5178058435918516,45.63784858727239,2.7246331240798578e-151
dcsumint,4.244565217391305,-5.926363863387388,10.170929080778691,5.296994225243022,2.060580727183056e-07
dcsuminz,2.7539251576086956,-7.00125128945946,9.755176447068155,4.51325311919571,8.672697478315275e-06
duncov,-0.026570048449275355,0.006756756756756757,-0.03332680520603211,-0.6351999742627824,0.525703773857757
dmaried,0.036231884057971016,-0.0045045045045045045,0.04073638856247552,1.1487040854930455,0.25144493773367643
dtenure,-0.9142317946739132,-0.3654174345504589,-0.5488143601234543,-0.6255953670347181,0.5319834782589393
pedhs,0.32608695652173914,0.4608294930875576,-0.13474253656581847,-2.53326158940804,0.011732901589446327
pedcl,0.4927536231884058,0.10138248847926268,0.39137113470914314,9.168158716816853,4.058147876972518e-18
dcpedhs,0.11594202898550725,-0.19815668202764977,0.314098711013157,4.072581663898327,5.7440877777525076e-05
dcpedhst,0.08454106510869565,-0.23271889400921658,0.3172599591179122,3.4490194679789803,0.0006306777663211728
dcpedcl,0.06159420289855073,-0.059907834101382486,0.12150203699993321,1.798209538509292,0.07299808802688541
dcpedclt,0.0036231884057971015,-0.059907834101382486,0.06353102250717958,0.9866174360112273,0.32450598029054367
